1,bean bag,g
2,bean bag,m
3,bean bag,p
4,bean bag,t
5,bean bag,w
6,bottle,g
7,bottle,p
8,bottle,w
9,cardboard,p
10,cardboard,g
11,cardboard,w
12,cube,g
13,cube,w
14,cube,m
15,cube,t
16,cube,p
17,peanut can,g
18,peanut can,p
19,peanut can,w
20,peanut can,m
21,peanut can,t
22,wooden egg,w
23,wooden egg,g
24,wooden egg,p
25,wooden egg,m
26,wooden egg,t
27,(small) football,m
28,(small) football,t
29,(small) football,p
30,(small) football,w
31,(small) football,g
32,octopus,g
33,piece of foam,m
34,piece of foam,t
35,puck,m
36,puck,t
37,small piece of foam,g
38,small piece of foam,w
39,soccer ball,t
40,styrofoam ball,m
41,styrofoam ball,t
42,styrofoam ball,g
43,styrofoam ball,p
44,wicker ball,t
45,wicker ball,m
46,wicker ball,g
47,wicker ball,p
48,wood,m
49,wood,t
50,wrist attachment,g